,eid1,eid2
1670,43988,45126
1671,43988,43991
1672,24813,32112
1673,24813,26369
1674,24813,4235
1675,24813,32113
1676,17289,17329
1677,17294,32112
1678,17294,32113
1679,17294,17314
1680,17294,17315
1681,17295,26369
1682,17295,17314
1683,17295,17315
1684,17295,32112
1685,17295,32113
1686,17296,26369
1687,17296,17314
1688,17296,17315
1689,17296,32112
1690,17296,32113
1691,4228,4235
1692,4229,4236
1693,4234,4241
1694,26368,17352
1695,26368,32114
1696,26368,26371
1697,24815,17352
1698,24815,32114
1699,24815,26371
1700,24815,4242
1701,43991,4248
1702,17335,17352
1703,17335,32114
1704,17335,26371
1705,17325,17352
1706,4241,4248
1707,28842,28845
1708,30533,17426
1709,30533,24827
1710,17414,17426
1711,17414,24827
1712,17415,17426
1713,17415,24827
1714,39044,17473
1715,45132,17473
1716,43999,17473
1717,45133,17473
1718,44002,45138
1719,4297,4304
1720,4297,45138
1721,4297,17510
1722,33116,17530
1723,33116,33118
1724,33116,33119
1725,33754,33757
1726,40726,40729
1727,45138,46144
1728,39051,40729
1729,17512,17530
1730,17512,33118
1731,17512,33119
1732,4302,4309
1733,32132,32135
1734,30548,17656
1735,30548,30551
1736,32138,32141
1737,40734,40737
1738,40735,17656
1739,40735,30551
1740,17600,17656
1741,17600,30551
1742,17614,32141
1743,17616,32141
1744,17644,32141
1745,17603,17656
1746,17603,30551
1747,4330,4337
1748,30550,17702
1749,30550,30553
1750,30550,28870
1751,35088,35091
1752,17650,30553
1753,17650,17702
1754,24844,24847
1755,39062,39065
1756,39062,17755
1757,17709,39065
1758,17709,17755
1759,39064,17795
1760,39064,39067
1761,39064,17789
1762,39064,40742
1763,40740,40743
1764,39065,40743
1765,33124,33127
1766,32153,33127
1767,17839,33127
1768,28882,28885
1769,17869,28885
1770,17870,28885
1771,26404,35103
1772,26405,35103
1773,17891,35103
1774,30578,17994
1775,30578,17995
1776,30578,30581
1777,17971,17994
1778,17971,30581
1779,35112,18081
1780,35112,18082
1781,35112,35115
1782,35113,35115
1783,37280,37283
1784,30590,30593
1785,30590,18165
1786,37282,37285
1787,40772,28908
1788,40772,40775
1789,39098,18225
1790,39098,18210
1791,39098,39101
1792,44048,4493
1793,18176,18225
1794,18176,18210
1795,18176,39101
1796,39100,18243
1797,39100,18244
1798,18218,18243
1799,18218,18244
1800,4493,4500
1801,35122,35125
1802,39102,39105
1803,18291,34326
1804,26432,18388
1805,30600,30603
1806,30600,18356
1807,30600,24892
1808,34326,34329
1809,34326,18388
1810,18329,18388
1811,18330,18388
1812,4508,4515
1813,24892,18402
1814,24892,26436
1815,24892,26437
1816,24892,32190
1817,24892,24895
1818,18355,24895
1819,30604,30606
1820,18403,27481
1821,30608,18474
1822,30608,30611
1823,40791,28926
1824,39122,40800
1825,39122,18539
1826,39122,39125
1827,18527,18541
1828,39128,18587
1829,44068,44071
1830,26450,18624
1831,26450,18623
1832,26450,26453
1833,26450,18621
1834,24913,18624
1835,24913,18623
1836,24913,26453
1837,24913,18621
1838,18598,18624
1839,18598,18623
1840,18598,26453
1841,18598,18621
1842,18599,18624
1843,18599,18623
1844,18599,26453
1845,18599,18621
1846,18603,18624
1847,18603,18623
1848,18603,26453
1849,18603,18621
1850,30628,18655
1851,30628,30631
1852,40813,18655
1853,40813,4631
1854,40813,30630
1855,40813,30631
1856,18630,18655
1857,18630,30631
1858,30630,30633
1859,33152,33155
1860,26470,32233
1861,32230,32233
1862,24933,32233
1863,26471,32233
1864,18785,32233
1865,18785,18791
1866,18786,32233
1867,18786,18791
1868,24944,18849
1869,24944,24947
1870,24944,32244
1871,30654,30657
1872,30654,18841
1873,30654,18842
1874,39158,39161
1875,18818,30657
1876,18818,18841
1877,18818,24947
1878,18818,18842
1879,18830,18844
1880,4718,24947
1881,24946,26484
1882,24946,26485
1883,24946,32246
1884,26488,18922
1885,26488,26491
1886,26488,32252
1887,18903,18922
1888,18903,26491
1889,18903,32252
1890,18904,18922
1891,18904,26491
1892,18904,32252
1893,18905,18922
1894,18905,26491
1895,18905,32252
1896,37332,4769
1897,37332,37335
1898,30664,30667
1899,39172,39175
1900,4771,4778
1901,24962,32260
1902,24962,24965
1903,26496,32261
1904,32258,32261
1905,26497,32261
1906,30672,19048
1907,30672,30674
1908,30672,19050
1909,30672,30675
1910,40861,30674
1911,19029,19048
1912,19029,19050
1913,19029,30675
1914,32264,32267
1915,26505,32267
1916,19066,39189
1917,30680,30683
1918,30680,19141
1919,30680,19142
1920,37352,37355
1921,19122,30683
1922,19122,19141
1923,19122,19142
1924,4832,37355
1925,30682,30685
1926,30682,19166
1927,30682,19167
1928,44130,4850
1929,44130,44133
1930,19141,19166
1931,19141,19167
1932,4843,4850
1933,4843,44133
1934,19169,39197
1935,30688,30691
1936,24982,19280
1937,24982,19281
1938,24982,26518
1939,24982,26519
1940,24982,19261
1941,30692,19296
1942,30692,30695
1943,35196,19314
1944,35196,32286
1945,24988,24991
1946,33816,19357
1947,40886,40889
1948,30698,19372
1949,30698,19371
1950,30698,30700
1951,30698,30701
1952,37362,37365
1953,40889,19371
1954,40889,30700
1955,40889,30701
1956,19348,19372
1957,19348,19371
1958,19348,30700
1959,19348,30701
1960,37366,37369
1961,24996,24999
1962,40895,30707
1963,37370,37373
1964,30716,25010
1965,33192,33195
1966,33830,33833
1967,39230,19680
1968,39230,39233
1969,39230,19679
1970,39230,40912
1971,29035,33195
1972,44163,19680
1973,44163,39233
1974,44163,19679
1975,19639,19680
1976,19639,39233
1977,19639,19679
1978,19643,33195
1979,19644,33195
1980,4974,4981
1981,29036,29039
1982,30722,19692
1983,30722,30725
1984,37380,37383
1985,19674,25017
1986,19674,19692
1987,19674,30725
1988,19676,29039
1989,4979,37383
1990,29044,29047
1991,19741,29047
1992,37386,37389
1993,39240,39243
1994,26564,19785
1995,26564,19786
1996,26564,32324
1997,26564,26567
1998,19779,19785
1999,19779,19786
2000,19779,32324
2001,19779,26567
2002,30742,30745
2003,19791,30745
2004,30744,30747
2005,26572,32333
2006,32330,32333
2007,25041,32333
2008,26573,32333
2009,19829,32333
2010,19830,19864
2011,19830,19865
2012,19830,32333
2013,19852,32333
2014,30758,25052
2015,29072,29075
2016,32346,32349
2017,32346,19973
2018,32346,19974
2019,26591,32349
2020,26591,19973
2021,26591,19974
2022,19959,32349
2023,19961,32349
2024,19962,32349
2025,5152,32349
2026,5152,5159
2027,26594,33200
2028,26594,20002
2029,26594,32355
2030,25067,32355
2031,25067,5180
2032,26595,33200
2033,26595,20002
2034,26595,32355
2035,19990,33200
2036,19990,20002
2037,19990,32355
2038,19990,5180
2039,19991,33200
2040,19991,20002
2041,19991,32355
2042,5173,32355
2043,37420,37423
2044,39280,39283
2045,25074,26600
2046,25074,26601
2047,25074,32360
2048,25074,25077
2049,37428,37431
2050,39286,40976
2051,39286,39289
2052,5210,37431
2053,26600,32363
2054,32360,32363
2055,39288,20072
2056,39288,39291
2057,25077,32363
2058,26601,32363
2059,44217,20072
2060,20049,20072
2061,20049,20067
2062,26606,26609
2063,26606,20131
2064,26606,20132
2065,20118,26609
2066,20118,20131
2067,20118,20132
2068,26609,32373
2069,20131,20170
2070,20131,32373
2071,20132,20170
2072,20132,32373
2073,40988,40991
2074,39301,40991
2075,20185,29107
2076,27578,29108
2077,27578,27581
2078,27578,20246
2079,30796,29108
2080,30796,20246
2081,30796,30799
2082,44230,20242
2083,25093,5278
2084,30797,29108
2085,20204,29108
2086,20204,20246
2087,20204,30799
2088,20208,29108
2089,20208,27581
2090,20208,20246
2091,20205,29108
2092,20205,20246
2093,20205,30799
2094,20220,29108
2095,20220,27581
2096,20220,20246
2097,20206,29108
2098,20206,20246
2099,37448,37451
2100,30806,30809
2101,30806,20322
2102,37452,37455
2103,41004,41007
2104,20302,30809
2105,25106,26628
2106,25106,25109
2107,25106,32390
2108,25106,5327
2109,30810,30813
2110,39326,39329
2111,44253,5361
2112,5354,5361
2113,20388,45281
2114,25118,25121
2115,25118,20418
2116,25118,20435
2117,25118,20434
2118,41020,41023
2119,30822,30825
2120,39334,20474
2121,46322,20475
2122,46322,20476
2123,26644,32408
2124,26644,26647
2125,25130,25133
2126,25130,20540
2127,25130,26650
2128,25130,26651
2129,25130,32412
2130,37472,37475
2131,20513,25133
2132,5404,25133
2133,30841,29157
2134,33971,32423
2135,33971,34183
2136,20609,34183
2137,20613,20634
2138,20611,20649
2139,20611,20650
2140,20611,34183
2141,20614,20634
2142,20615,20634
2143,5439,20634
2144,5439,34183
2145,26661,32425
2146,20633,32425
2147,20634,32425
2148,20634,20663
2149,20635,32425
2150,20635,20663
2151,45292,20671
2152,45292,45295
2153,44281,45295
2154,20666,26664
2155,20666,26665
2156,20666,32427
2157,39358,39361
2158,30854,30857
2159,32434,32437
2160,30856,30859
2161,45300,45303
2162,20740,30859
2163,20744,30859
2164,25160,20784
2165,25160,25163
2166,25160,20804
2167,25160,20805
2168,30858,20794
2169,20762,20784
2170,20762,25163
2171,20762,20804
2172,20762,20805
2173,44296,45306
2174,44296,44299
2175,30868,30871
2176,32448,33251
2177,33248,33251
2178,32449,33251
2179,30870,30873
2180,30870,20914
2181,20885,20914
2182,20885,20915
2183,39386,39389
2184,30876,30879
2185,20970,30879
2186,25180,27622
2187,25180,25183
2188,26696,35339
2189,27622,27625
2190,35336,5601
2191,35336,35339
2192,25183,27625
2193,21066,35339
2194,5594,35339
2195,30884,21128
2196,30884,29200
2197,30884,30887
2198,35338,21137
2199,35338,26700
2200,35338,35341
2201,35338,26701
2202,21078,21128
2203,21078,30887
2204,5601,21137
2205,5601,35341
2206,5601,26700
2207,5601,26701
2208,26702,32467
2209,32464,21208
2210,32464,32467
2211,32464,21207
2212,33256,33259
2213,26703,32467
2214,21190,33259
2215,21191,33259
2216,25190,25193
2217,45326,21232
2218,45326,39404
2219,45327,21232
2220,45327,39404
2221,25194,25197
2222,26708,32470
2223,5635,5642
2224,5635,32470
2225,35348,35351
2226,29218,29221
2227,30905,29221
2228,21357,29221
2229,21357,21374
2230,21358,29221
2231,21358,21374
2232,26722,32484
2233,26722,26725
2234,26722,21387
2235,26722,21388
2236,26722,21393
2237,21377,32484
2238,21377,26725
2239,21377,21387
2240,21377,21388
2241,21377,21393
2242,37528,37531
2243,30912,21424
2244,30912,21418
2245,30912,30915
2246,41113,29226
2247,21402,21418
2248,21402,30914
2249,21402,30915
2250,21402,21424
2251,25214,25217
2252,25214,21467
2253,35360,35363
2254,45332,39424
2255,35362,21482
2256,35362,35365
2257,35362,21495
2258,35363,35365
2259,21467,35365
2260,33264,5747
2261,33264,33267
2262,37534,37537
2263,29237,33267
2264,32499,5747
2265,32499,33267
2266,21526,5747
2267,21526,33267
2268,5740,5747
2269,5742,37537
2270,25230,21568
2271,30928,30931
2272,30928,21589
2273,30928,21590
2274,21564,30931
2275,21564,21589
2276,21564,21590
2277,26740,26743
2278,26740,32510
2279,26740,21606
2280,26740,21607
2281,21586,26743
2282,21586,32510
2283,21586,21606
2284,21586,21607
2285,21587,26743
2286,21587,32510
2287,21587,21606
2288,21587,21607
2289,37548,5805
2290,37548,37551
2291,44359,39448
2292,25240,26749
2293,25240,21679
2294,44360,44363
2295,44360,45342
2296,44360,45343
2297,21667,21681
2298,21667,26749
2299,21667,21679
2300,21651,26749
2301,21651,21679
2302,45342,45345
2303,44363,45345
2304,30940,30943
2305,33278,33281
2306,33279,33281
2307,26756,33283
2308,32524,33283
2309,33280,33283
2310,46408,46411
2311,25253,33283
2312,26757,33283
2313,32525,33283
2314,21774,33283
2315,21792,33283
2316,21775,33283
2317,21780,33283
2318,21793,33283
2319,21776,33283
2320,21781,33283
2321,5851,5858
2322,39464,21896
2323,39464,39467
2324,44376,5872
2325,5865,5872
2326,5865,46414
2327,30954,21968
2328,30954,30957
2329,30954,21976
2330,30955,21976
2331,30955,30957
2332,21938,21976
2333,21969,22011
2334,21969,22012
2335,21970,22011
2336,21970,22012
2337,37562,5896
2338,37562,37565
2339,5889,37565
2340,25266,27676
2341,35384,35387
2342,35384,5902
2343,35385,5902
2344,5895,35386
2345,5895,35387
2346,5895,5902
2347,35386,35389
2348,35386,22174
2349,35387,35389
2350,35387,5909
2351,25272,22217
2352,25272,25275
2353,25272,22220
2354,25272,34030
2355,39481,41177
2356,30968,30970
2357,5922,5929
2358,30972,30975
2359,22259,32547
2360,44394,39496
2361,22335,29301
2362,22361,32563
2363,22361,22398
2364,22362,32563
2365,22362,22398
2366,22376,32563
2367,22376,22398
2368,39502,39505
2369,41209,29318
2370,6045,29318
2371,30998,25308
2372,30998,22447
2373,31006,31008
2374,31006,31009
2375,31006,22504
2376,31006,22503
2377,31007,22504
2378,31007,22503
2379,22488,31008
2380,22488,31009
2381,22488,22504
2382,22488,22503
2383,22491,31008
2384,22491,22504
2385,22491,22503
2386,22495,22504
2387,37594,37597
2388,6113,37597
2389,37858,37861
2390,37858,6141
2391,6134,37861
2392,6134,6141
2393,31022,22593
2394,31022,31025
2395,22587,22593
2396,22587,31025
2397,25330,6153
2398,25330,26826
2399,25330,26827
2400,25330,22613
2401,25330,25333
2402,25330,22622
2403,25330,22623
2404,26824,22617
2405,26824,22618
2406,26824,33300
2407,26824,32597
2408,31024,31027
2409,32594,22617
2410,32594,22618
2411,32594,33300
2412,32594,32597
2413,25331,6153
2414,26825,22617
2415,26825,22618
2416,26825,33300
2417,26825,32597
2418,22592,6153
2419,6146,6153
2420,6146,26827
2421,6146,22622
2422,32596,22643
2423,32596,33925
2424,32596,32599
2425,26827,22643
2426,22612,22643
2427,22622,22643
2428,22623,6160
2429,22623,22643
2430,22623,33924
2431,22623,32599
2432,6153,6160
2433,31042,22741
2434,31042,31044
2435,31042,31045
2436,31042,22742
2437,22727,31045
2438,6234,31045
2439,31044,22779
2440,31044,31047
2441,39565,41261
2442,22741,31047
2443,27726,29368
2444,39566,39569
2445,39566,22853
2446,25359,6251
2447,22789,46472
2448,22789,39569
2449,22789,22853
2450,22789,22855
2451,31048,31051
2452,39568,22875
2453,44462,6264
2454,44462,44465
2455,31049,31051
2456,22833,22875
2457,22833,39571
2458,6257,6264
2459,6257,44465
2460,45397,46476
2461,29372,29375
2462,31053,29375
2463,22897,29375
2464,25368,22973
2465,31056,31059
2466,22937,22960
2467,22937,31059
2468,25370,26859
2469,25370,32628
2470,26856,32628
2471,31058,22993
2472,31058,31061
2473,31059,22993
2474,31059,31061
2475,41273,31060
2476,22954,22993
2477,22954,31061
2478,22960,22993
2479,25372,26861
2480,25372,25375
2481,37872,37877
2482,25374,25377
2483,44472,44475
2484,29386,29389
2485,31066,23097
2486,31067,29389
2487,23079,29389
2488,44480,45412
2489,44480,45413
2490,45410,45412
2491,45410,45413
2492,44481,45412
2493,44481,45413
2494,23108,45412
2495,23108,45413
2496,25382,25385
2497,25382,26871
2498,25382,23143
2499,41286,41289
2500,39593,41289
2501,45413,23146
2502,45413,23147
2503,23122,25385
2504,23123,25385
2505,26870,26873
2506,26871,35459
2507,23143,35459
2508,26872,23221
2509,26872,23222
2510,26872,32647
2511,29396,29399
2512,25387,32647
2513,26873,32647
2514,23157,32647
2515,23172,32647
2516,23158,23221
2517,23158,23222
2518,23158,32647
2519,23173,32647
2520,31078,31080
2521,31078,31081
2522,31078,23230
2523,31078,23231
2524,23200,31081
2525,23200,23231
2526,31081,31083
2527,31081,23260
2528,23230,31083
2529,23230,23260
2530,23231,31083
2531,23231,23260
2532,26878,26881
2533,35464,26880
2534,35464,23313
2535,35464,23332
2536,35464,23320
2537,31085,29407
2538,35465,26880
2539,35465,23313
2540,35465,23332
2541,35465,23320
2542,23286,29407
2543,32650,32653
2544,26881,32653
2545,39608,41304
2546,39608,39611
2547,44494,39610
2548,44495,39611
2549,31090,31093
2550,35468,35471
2551,23370,32657
2552,23370,23427
2553,23376,32657
2554,23381,32657
2555,23381,23427
2556,23377,32657
2557,6399,35471
2558,31092,31095
2559,35474,35476
2560,35474,35477
2561,23528,23557
2562,35476,35479
2563,35477,35479
2564,33330,33332
2565,33330,33333
2566,31126,31128
2567,31126,31129
2568,31126,23689
2569,31126,23688
2570,23686,31128
2571,23686,31129
2572,23686,23689
2573,23686,23688
2574,33346,33349
2575,29457,33349
2576,32695,33349
2577,23710,33349
