Number of all enter event candidates: 8891
candidates per time window:
tw 0: 1, average value: 5.0
tw 436: 7, average value: 4.571428571428571
tw 437: 10, average value: 3.8
tw 438: 12, average value: 2.5833333333333335
tw 439: 10, average value: 2.0
tw 440: 8, average value: 3.25
tw 441: 4, average value: 1.0
tw 442: 6, average value: 2.5
tw 443: 8, average value: 2.25
tw 444: 12, average value: 3.3333333333333335
tw 445: 6, average value: 2.1666666666666665
tw 446: 10, average value: 3.4
tw 447: 9, average value: 2.0
tw 448: 7, average value: 1.1428571428571428
tw 449: 4, average value: 1.5
tw 450: 9, average value: 2.111111111111111
tw 451: 11, average value: 3.3636363636363638
tw 452: 13, average value: 3.1538461538461537
tw 453: 13, average value: 2.923076923076923
tw 454: 13, average value: 3.3076923076923075
tw 455: 13, average value: 3.076923076923077
tw 456: 8, average value: 2.25
tw 457: 9, average value: 3.111111111111111
tw 458: 6, average value: 2.6666666666666665
tw 459: 9, average value: 3.4444444444444446
tw 460: 13, average value: 3.3846153846153846
tw 461: 15, average value: 4.333333333333333
tw 462: 6, average value: 1.1666666666666667
tw 463: 7, average value: 2.0
tw 464: 11, average value: 2.6363636363636362
tw 465: 10, average value: 3.4
tw 466: 7, average value: 2.2857142857142856
tw 467: 6, average value: 1.3333333333333333
tw 468: 8, average value: 2.75
tw 469: 7, average value: 1.4285714285714286
tw 470: 6, average value: 1.8333333333333333
tw 471: 10, average value: 2.1
tw 472: 11, average value: 2.4545454545454546
tw 473: 14, average value: 2.9285714285714284
tw 474: 15, average value: 2.466666666666667
tw 475: 9, average value: 2.5555555555555554
tw 476: 10, average value: 3.4
tw 477: 2, average value: 1.5
tw 478: 10, average value: 2.2
tw 479: 12, average value: 2.5
tw 480: 6, average value: 4.166666666666667
tw 481: 11, average value: 2.5454545454545454
tw 482: 10, average value: 2.7
tw 483: 11, average value: 1.7272727272727273
tw 484: 2, average value: 1.5
tw 485: 11, average value: 3.8181818181818183
tw 486: 12, average value: 3.8333333333333335
tw 487: 7, average value: 4.0
tw 488: 10, average value: 3.7
tw 489: 11, average value: 3.4545454545454546
tw 490: 9, average value: 2.0
tw 491: 4, average value: 1.5
tw 492: 9, average value: 4.222222222222222
tw 493: 11, average value: 3.272727272727273
tw 494: 9, average value: 6.444444444444445
tw 495: 8, average value: 3.125
tw 496: 10, average value: 1.9
tw 497: 8, average value: 2.625
tw 498: 6, average value: 2.3333333333333335
tw 499: 10, average value: 2.4
tw 500: 10, average value: 3.2
tw 501: 8, average value: 3.375
tw 502: 12, average value: 2.4166666666666665
tw 503: 10, average value: 3.5
tw 504: 8, average value: 2.25
tw 505: 5, average value: 3.0
tw 506: 10, average value: 2.5
tw 507: 18, average value: 2.9444444444444446
tw 508: 11, average value: 2.0
tw 509: 16, average value: 3.3125
tw 510: 12, average value: 2.5833333333333335
tw 511: 10, average value: 3.8
tw 512: 4, average value: 1.75
tw 513: 11, average value: 3.3636363636363638
tw 514: 9, average value: 4.333333333333333
tw 515: 13, average value: 2.4615384615384617
tw 516: 14, average value: 2.357142857142857
tw 517: 12, average value: 2.75
tw 518: 11, average value: 2.3636363636363638
tw 519: 2, average value: 1.5
tw 520: 11, average value: 4.7272727272727275
tw 521: 10, average value: 3.4
tw 522: 11, average value: 3.272727272727273
tw 523: 16, average value: 2.625
tw 524: 16, average value: 2.8125
tw 525: 7, average value: 2.4285714285714284
tw 526: 9, average value: 2.2222222222222223
tw 527: 14, average value: 5.357142857142857
tw 528: 16, average value: 3.875
tw 529: 13, average value: 4.230769230769231
tw 530: 12, average value: 4.083333333333333
tw 531: 15, average value: 4.466666666666667
tw 532: 10, average value: 3.5
tw 533: 7, average value: 3.2857142857142856
tw 534: 12, average value: 5.25
tw 535: 12, average value: 4.166666666666667
tw 536: 13, average value: 3.3846153846153846
tw 537: 17, average value: 4.647058823529412
tw 538: 11, average value: 5.7272727272727275
tw 539: 6, average value: 3.5
tw 540: 6, average value: 2.6666666666666665
tw 541: 13, average value: 4.615384615384615
tw 542: 15, average value: 4.266666666666667
tw 543: 10, average value: 3.3
tw 544: 12, average value: 3.5
tw 545: 14, average value: 3.857142857142857
tw 546: 4, average value: 2.25
tw 547: 7, average value: 5.285714285714286
tw 548: 8, average value: 2.125
tw 549: 12, average value: 2.5
tw 550: 7, average value: 3.142857142857143
tw 551: 11, average value: 2.909090909090909
tw 552: 10, average value: 3.5
tw 553: 9, average value: 1.8888888888888888
tw 554: 6, average value: 2.6666666666666665
tw 555: 12, average value: 4.083333333333333
tw 556: 8, average value: 2.25
tw 557: 9, average value: 2.0
tw 558: 7, average value: 2.142857142857143
tw 559: 11, average value: 2.909090909090909
tw 560: 8, average value: 3.0
tw 561: 5, average value: 1.2
tw 562: 14, average value: 4.571428571428571
tw 563: 5, average value: 2.6
tw 564: 4, average value: 4.25
tw 565: 10, average value: 2.1
tw 566: 4, average value: 1.5
tw 567: 8, average value: 1.875
tw 568: 7, average value: 1.8571428571428572
tw 569: 6, average value: 3.5
tw 570: 5, average value: 2.2
tw 571: 6, average value: 1.5
tw 572: 9, average value: 1.6666666666666667
tw 573: 14, average value: 2.9285714285714284
tw 574: 9, average value: 1.5555555555555556
tw 575: 1, average value: 2.0
tw 576: 13, average value: 3.0
tw 577: 2, average value: 3.5
tw 578: 10, average value: 2.9
tw 579: 9, average value: 3.4444444444444446
tw 580: 10, average value: 2.6
tw 581: 6, average value: 2.3333333333333335
tw 582: 3, average value: 1.3333333333333333
tw 583: 10, average value: 2.3
tw 584: 10, average value: 3.1
tw 585: 11, average value: 3.0
tw 586: 12, average value: 3.0
tw 587: 10, average value: 3.5
tw 588: 5, average value: 2.4
tw 589: 7, average value: 3.0
tw 590: 11, average value: 2.6363636363636362
tw 591: 13, average value: 2.8461538461538463
tw 592: 13, average value: 3.1538461538461537
tw 593: 15, average value: 3.066666666666667
tw 594: 13, average value: 1.7692307692307692
tw 595: 8, average value: 3.125
tw 596: 4, average value: 1.5
tw 597: 12, average value: 3.6666666666666665
tw 598: 11, average value: 3.727272727272727
tw 599: 13, average value: 4.384615384615385
tw 600: 16, average value: 2.125
tw 601: 18, average value: 3.0555555555555554
tw 602: 12, average value: 3.5833333333333335
tw 603: 3, average value: 2.0
tw 604: 17, average value: 3.764705882352941
tw 605: 16, average value: 4.25
tw 606: 12, average value: 2.5
tw 607: 12, average value: 2.5833333333333335
tw 608: 15, average value: 3.1333333333333333
tw 609: 8, average value: 2.25
tw 610: 4, average value: 4.25
tw 611: 12, average value: 3.8333333333333335
tw 612: 14, average value: 3.7142857142857144
tw 613: 12, average value: 2.3333333333333335
tw 614: 12, average value: 3.75
tw 615: 13, average value: 3.8461538461538463
tw 616: 10, average value: 3.3
tw 617: 10, average value: 1.9
tw 618: 17, average value: 3.5294117647058822
tw 619: 14, average value: 4.571428571428571
tw 620: 15, average value: 3.7333333333333334
tw 621: 14, average value: 3.357142857142857
tw 622: 13, average value: 2.6923076923076925
tw 623: 7, average value: 4.857142857142857
tw 624: 5, average value: 4.2
tw 625: 13, average value: 3.1538461538461537
tw 626: 11, average value: 2.6363636363636362
tw 627: 12, average value: 2.3333333333333335
tw 628: 12, average value: 2.6666666666666665
tw 629: 13, average value: 3.0
tw 630: 6, average value: 1.8333333333333333
tw 631: 7, average value: 3.0
tw 632: 13, average value: 3.4615384615384617
tw 633: 12, average value: 3.5
tw 634: 10, average value: 2.9
tw 635: 14, average value: 4.571428571428571
tw 636: 16, average value: 2.8125
tw 637: 8, average value: 2.0
tw 638: 13, average value: 1.9230769230769231
tw 639: 13, average value: 3.5384615384615383
tw 640: 12, average value: 4.083333333333333
tw 641: 11, average value: 4.545454545454546
tw 642: 15, average value: 3.1333333333333333
tw 643: 11, average value: 4.0
tw 644: 12, average value: 2.6666666666666665
tw 645: 11, average value: 4.545454545454546
tw 646: 13, average value: 5.076923076923077
tw 647: 8, average value: 3.75
tw 648: 9, average value: 4.222222222222222
tw 649: 13, average value: 3.769230769230769
tw 650: 8, average value: 3.625
tw 651: 8, average value: 2.125
tw 652: 10, average value: 2.5
tw 653: 8, average value: 3.5
tw 654: 9, average value: 2.111111111111111
tw 655: 7, average value: 2.142857142857143
tw 656: 11, average value: 3.4545454545454546
tw 657: 5, average value: 2.6
tw 658: 9, average value: 2.3333333333333335
tw 659: 7, average value: 1.8571428571428572
tw 660: 10, average value: 3.5
tw 661: 13, average value: 2.8461538461538463
tw 662: 9, average value: 3.3333333333333335
tw 663: 11, average value: 3.909090909090909
tw 664: 11, average value: 1.7272727272727273
tw 665: 6, average value: 2.3333333333333335
tw 666: 8, average value: 1.625
tw 667: 13, average value: 2.3076923076923075
tw 668: 10, average value: 4.0
tw 669: 5, average value: 3.2
tw 670: 7, average value: 3.2857142857142856
tw 671: 9, average value: 2.7777777777777777
tw 672: 7, average value: 2.857142857142857
tw 673: 8, average value: 1.625
tw 674: 15, average value: 3.2666666666666666
tw 675: 16, average value: 3.4375
tw 676: 9, average value: 1.7777777777777777
tw 677: 13, average value: 3.230769230769231
tw 678: 4, average value: 4.75
tw 679: 9, average value: 2.888888888888889
tw 680: 8, average value: 1.625
tw 681: 12, average value: 2.5
tw 682: 13, average value: 4.153846153846154
tw 683: 10, average value: 3.3
tw 684: 13, average value: 4.076923076923077
tw 685: 12, average value: 3.3333333333333335
tw 686: 8, average value: 2.125
tw 687: 5, average value: 2.2
tw 688: 12, average value: 3.25
tw 689: 14, average value: 2.5714285714285716
tw 690: 12, average value: 2.8333333333333335
tw 691: 12, average value: 3.25
tw 692: 14, average value: 2.5
tw 693: 8, average value: 1.875
tw 694: 9, average value: 1.8888888888888888
tw 695: 10, average value: 3.5
tw 696: 13, average value: 4.384615384615385
tw 697: 7, average value: 3.4285714285714284
tw 698: 15, average value: 3.2
tw 699: 10, average value: 2.7
tw 700: 10, average value: 3.0
tw 701: 11, average value: 3.3636363636363638
tw 702: 8, average value: 5.25
tw 703: 10, average value: 3.6
tw 704: 13, average value: 4.3076923076923075
tw 705: 13, average value: 3.1538461538461537
tw 706: 13, average value: 2.8461538461538463
tw 707: 7, average value: 2.142857142857143
tw 708: 5, average value: 4.0
tw 709: 16, average value: 3.625
tw 710: 16, average value: 3.25
tw 711: 11, average value: 3.090909090909091
tw 712: 16, average value: 3.875
tw 713: 9, average value: 1.4444444444444444
tw 714: 5, average value: 3.2
tw 715: 7, average value: 1.8571428571428572
tw 716: 11, average value: 1.4545454545454546
tw 717: 9, average value: 1.6666666666666667
tw 718: 11, average value: 2.0
tw 719: 8, average value: 2.0
tw 720: 8, average value: 1.375
tw 721: 4, average value: 1.25
tw 722: 6, average value: 2.0
tw 723: 10, average value: 2.2
tw 724: 9, average value: 3.0
tw 725: 13, average value: 3.0
tw 726: 9, average value: 2.6666666666666665
tw 727: 6, average value: 1.3333333333333333
tw 728: 5, average value: 1.6
tw 729: 7, average value: 1.4285714285714286
tw 730: 9, average value: 2.0
tw 731: 10, average value: 1.6
tw 732: 13, average value: 2.8461538461538463
tw 733: 4, average value: 1.75
tw 734: 11, average value: 2.909090909090909
tw 735: 8, average value: 1.875
tw 736: 5, average value: 4.4
tw 737: 6, average value: 3.3333333333333335
tw 738: 11, average value: 1.9090909090909092
tw 739: 7, average value: 3.142857142857143
tw 740: 11, average value: 2.4545454545454546
tw 741: 7, average value: 3.142857142857143
tw 742: 4, average value: 1.75
tw 743: 2, average value: 1.5
tw 744: 14, average value: 2.857142857142857
tw 745: 13, average value: 2.923076923076923
tw 746: 15, average value: 2.4
tw 747: 13, average value: 2.230769230769231
tw 748: 9, average value: 2.5555555555555554
tw 749: 8, average value: 1.75
tw 750: 9, average value: 2.7777777777777777
tw 751: 16, average value: 3.1875
tw 752: 9, average value: 2.7777777777777777
tw 753: 15, average value: 3.466666666666667
tw 754: 14, average value: 3.2857142857142856
tw 755: 10, average value: 3.4
tw 756: 8, average value: 2.0
tw 757: 9, average value: 2.5555555555555554
tw 758: 9, average value: 1.5555555555555556
tw 759: 9, average value: 4.666666666666667
tw 760: 11, average value: 3.1818181818181817
tw 761: 10, average value: 2.4
tw 762: 11, average value: 2.8181818181818183
tw 763: 8, average value: 2.25
tw 764: 10, average value: 3.1
tw 765: 13, average value: 2.8461538461538463
tw 766: 11, average value: 2.272727272727273
tw 767: 13, average value: 3.076923076923077
tw 768: 12, average value: 3.1666666666666665
tw 769: 12, average value: 3.25
tw 770: 6, average value: 1.1666666666666667
tw 771: 6, average value: 2.8333333333333335
tw 772: 14, average value: 3.142857142857143
tw 773: 11, average value: 4.090909090909091
tw 774: 13, average value: 3.3076923076923075
tw 775: 8, average value: 4.0
tw 776: 15, average value: 2.933333333333333
tw 777: 11, average value: 1.9090909090909092
tw 778: 10, average value: 4.4
tw 779: 10, average value: 2.6
tw 780: 11, average value: 2.1818181818181817
tw 781: 11, average value: 3.090909090909091
tw 782: 7, average value: 1.8571428571428572
tw 783: 8, average value: 2.375
tw 784: 7, average value: 2.0
tw 785: 13, average value: 2.923076923076923
tw 786: 13, average value: 2.769230769230769
tw 787: 9, average value: 3.888888888888889
tw 788: 16, average value: 1.875
tw 789: 12, average value: 3.5833333333333335
tw 790: 11, average value: 1.9090909090909092
tw 791: 9, average value: 2.4444444444444446
tw 792: 9, average value: 3.7777777777777777
tw 793: 12, average value: 3.0833333333333335
tw 794: 11, average value: 2.727272727272727
tw 795: 12, average value: 3.25
tw 796: 12, average value: 3.0
tw 797: 8, average value: 4.0
tw 798: 10, average value: 3.5
tw 799: 10, average value: 3.6
tw 800: 12, average value: 5.083333333333333
tw 801: 12, average value: 3.9166666666666665
tw 802: 15, average value: 3.8666666666666667
tw 803: 13, average value: 3.6923076923076925
tw 804: 9, average value: 3.0
tw 805: 8, average value: 2.5
tw 806: 15, average value: 4.066666666666666
tw 807: 8, average value: 2.875
tw 808: 12, average value: 2.75
tw 809: 12, average value: 2.75
tw 810: 5, average value: 2.4
tw 811: 9, average value: 2.888888888888889
tw 812: 5, average value: 2.0
tw 813: 6, average value: 2.5
tw 814: 9, average value: 4.111111111111111
tw 815: 12, average value: 3.3333333333333335
tw 816: 11, average value: 3.0
tw 817: 10, average value: 3.7
tw 818: 6, average value: 2.3333333333333335
tw 819: 6, average value: 2.5
tw 820: 6, average value: 2.3333333333333335
tw 821: 9, average value: 2.4444444444444446
tw 822: 9, average value: 2.111111111111111
tw 823: 6, average value: 1.6666666666666667
tw 824: 9, average value: 2.7777777777777777
tw 825: 8, average value: 4.5
tw 826: 7, average value: 2.4285714285714284
tw 827: 8, average value: 4.75
tw 828: 14, average value: 3.0
tw 829: 13, average value: 3.6923076923076925
tw 830: 10, average value: 3.0
tw 831: 10, average value: 2.6
tw 832: 10, average value: 3.2
tw 833: 11, average value: 2.0
tw 834: 7, average value: 3.142857142857143
tw 835: 16, average value: 4.6875
tw 836: 15, average value: 3.2
tw 837: 15, average value: 4.533333333333333
tw 838: 14, average value: 2.7142857142857144
tw 839: 9, average value: 3.0
tw 840: 7, average value: 3.0
tw 841: 14, average value: 3.857142857142857
tw 842: 9, average value: 7.555555555555555
tw 843: 18, average value: 3.4444444444444446
tw 844: 15, average value: 3.533333333333333
tw 845: 11, average value: 3.8181818181818183
tw 846: 12, average value: 2.4166666666666665
tw 847: 5, average value: 3.2
tw 848: 14, average value: 2.642857142857143
tw 849: 13, average value: 2.5384615384615383
tw 850: 7, average value: 2.857142857142857
tw 851: 12, average value: 3.5
tw 852: 10, average value: 1.6
tw 853: 6, average value: 1.3333333333333333
tw 854: 6, average value: 5.166666666666667
tw 855: 7, average value: 3.5714285714285716
tw 856: 5, average value: 2.0
tw 857: 12, average value: 2.1666666666666665
tw 858: 12, average value: 1.8333333333333333
tw 859: 6, average value: 1.6666666666666667
tw 860: 6, average value: 1.5
tw 861: 4, average value: 1.75
tw 862: 7, average value: 2.0
tw 863: 8, average value: 1.75
tw 864: 8, average value: 3.25
tw 865: 6, average value: 6.166666666666667
tw 866: 8, average value: 2.125
tw 867: 6, average value: 2.0
tw 868: 6, average value: 2.3333333333333335
tw 869: 9, average value: 3.5555555555555554
tw 870: 9, average value: 2.2222222222222223
tw 871: 11, average value: 2.272727272727273
tw 872: 4, average value: 1.75
tw 873: 6, average value: 1.3333333333333333
tw 874: 12, average value: 2.0833333333333335
tw 875: 4, average value: 2.5
tw 876: 6, average value: 3.8333333333333335
tw 877: 5, average value: 3.0
tw 878: 8, average value: 3.5
tw 879: 12, average value: 2.75
tw 880: 11, average value: 3.3636363636363638
tw 881: 5, average value: 1.8
tw 882: 7, average value: 1.2857142857142858
tw 883: 7, average value: 1.4285714285714286
tw 884: 9, average value: 3.3333333333333335
tw 885: 8, average value: 1.625
tw 886: 14, average value: 2.142857142857143
tw 887: 10, average value: 2.4
tw 888: 8, average value: 1.75
tw 889: 6, average value: 3.1666666666666665
tw 890: 7, average value: 3.4285714285714284
tw 891: 13, average value: 3.4615384615384617
tw 892: 12, average value: 4.583333333333333
tw 893: 15, average value: 2.8
tw 894: 12, average value: 2.8333333333333335
tw 895: 10, average value: 2.9
tw 896: 10, average value: 3.4
tw 897: 13, average value: 3.5384615384615383
tw 898: 13, average value: 4.0
tw 899: 15, average value: 4.266666666666667
tw 900: 15, average value: 2.8
tw 901: 15, average value: 3.3333333333333335
tw 902: 12, average value: 1.9166666666666667
tw 903: 10, average value: 2.3
tw 904: 10, average value: 2.6
tw 905: 11, average value: 3.272727272727273
tw 906: 9, average value: 3.7777777777777777
tw 907: 13, average value: 4.0
tw 908: 11, average value: 3.5454545454545454
tw 909: 10, average value: 3.0
tw 910: 5, average value: 4.8
tw 911: 14, average value: 2.642857142857143
tw 912: 17, average value: 3.823529411764706
tw 913: 12, average value: 3.3333333333333335
tw 914: 11, average value: 4.818181818181818
tw 915: 12, average value: 4.333333333333333
tw 916: 7, average value: 5.571428571428571
tw 917: 8, average value: 3.375
tw 918: 11, average value: 4.909090909090909
tw 919: 12, average value: 3.6666666666666665
tw 920: 8, average value: 4.625
tw 921: 8, average value: 2.125
tw 922: 8, average value: 5.0
tw 923: 3, average value: 11.333333333333334
tw 924: 6, average value: 2.8333333333333335
tw 925: 3, average value: 1.3333333333333333
tw 926: 2, average value: 3.5
tw 927: 7, average value: 1.7142857142857142
tw 928: 2, average value: 1.5
tw 929: 7, average value: 2.142857142857143
tw 930: 2, average value: 4.0
tw 931: 3, average value: 1.0
tw 932: 5, average value: 1.8
tw 933: 7, average value: 2.857142857142857
tw 934: 6, average value: 2.0
tw 935: 2, average value: 1.0
tw 936: 1, average value: 2.0
tw 937: 1, average value: 4.0
tw 938: 3, average value: 2.6666666666666665
tw 939: 4, average value: 2.25
tw 940: 5, average value: 1.4
tw 941: 2, average value: 3.5
tw 942: 1, average value: 8.0
tw 943: 0, average value: 0

Number of all load event candidates: 0
candidates per time window:
tw 0: 0, average value: 0
tw 1: 0, average value: 0
tw 2: 0, average value: 0
tw 3: 0, average value: 0
tw 4: 0, average value: 0
tw 5: 0, average value: 0
tw 6: 0, average value: 0
tw 7: 0, average value: 0
tw 8: 0, average value: 0
tw 9: 0, average value: 0
tw 10: 0, average value: 0
tw 11: 0, average value: 0
tw 12: 0, average value: 0
tw 13: 0, average value: 0
tw 14: 0, average value: 0
tw 15: 0, average value: 0
tw 16: 0, average value: 0
tw 17: 0, average value: 0
tw 18: 0, average value: 0
tw 19: 0, average value: 0
tw 20: 0, average value: 0
tw 21: 0, average value: 0
tw 22: 0, average value: 0
tw 23: 0, average value: 0
tw 24: 0, average value: 0
tw 25: 0, average value: 0
tw 26: 0, average value: 0
tw 27: 0, average value: 0
tw 28: 0, average value: 0
tw 29: 0, average value: 0
tw 30: 0, average value: 0
tw 31: 0, average value: 0
tw 32: 0, average value: 0
tw 33: 0, average value: 0
tw 34: 0, average value: 0
tw 35: 0, average value: 0
tw 36: 0, average value: 0
tw 37: 0, average value: 0
tw 38: 0, average value: 0
tw 39: 0, average value: 0
tw 40: 0, average value: 0
tw 41: 0, average value: 0
tw 42: 0, average value: 0
tw 43: 0, average value: 0
tw 44: 0, average value: 0
tw 45: 0, average value: 0
tw 46: 0, average value: 0
tw 47: 0, average value: 0
tw 48: 0, average value: 0
tw 49: 0, average value: 0
tw 50: 0, average value: 0
tw 51: 0, average value: 0
tw 52: 0, average value: 0
tw 53: 0, average value: 0
tw 54: 0, average value: 0
tw 55: 0, average value: 0
tw 56: 0, average value: 0
tw 57: 0, average value: 0
tw 58: 0, average value: 0
tw 59: 0, average value: 0
tw 60: 0, average value: 0
tw 61: 0, average value: 0
tw 62: 0, average value: 0
tw 63: 0, average value: 0
tw 64: 0, average value: 0
tw 65: 0, average value: 0
tw 66: 0, average value: 0
tw 67: 0, average value: 0
tw 68: 0, average value: 0
tw 69: 0, average value: 0
tw 70: 0, average value: 0
tw 71: 0, average value: 0
tw 72: 0, average value: 0
tw 73: 0, average value: 0
tw 74: 0, average value: 0
tw 75: 0, average value: 0
tw 76: 0, average value: 0
tw 77: 0, average value: 0
tw 78: 0, average value: 0
tw 79: 0, average value: 0
tw 80: 0, average value: 0
tw 81: 0, average value: 0
tw 82: 0, average value: 0
tw 83: 0, average value: 0
tw 84: 0, average value: 0
tw 85: 0, average value: 0
tw 86: 0, average value: 0
tw 87: 0, average value: 0
tw 88: 0, average value: 0
tw 89: 0, average value: 0
tw 90: 0, average value: 0
tw 91: 0, average value: 0
tw 92: 0, average value: 0
tw 93: 0, average value: 0
tw 94: 0, average value: 0
tw 95: 0, average value: 0
tw 96: 0, average value: 0
tw 97: 0, average value: 0
tw 98: 0, average value: 0
tw 99: 0, average value: 0
tw 100: 0, average value: 0
tw 101: 0, average value: 0
tw 102: 0, average value: 0
tw 103: 0, average value: 0
tw 104: 0, average value: 0
tw 105: 0, average value: 0
tw 106: 0, average value: 0
tw 107: 0, average value: 0
tw 108: 0, average value: 0
tw 109: 0, average value: 0
tw 110: 0, average value: 0
tw 111: 0, average value: 0
tw 112: 0, average value: 0
tw 113: 0, average value: 0
tw 114: 0, average value: 0
tw 115: 0, average value: 0
tw 116: 0, average value: 0
tw 117: 0, average value: 0
tw 118: 0, average value: 0
tw 119: 0, average value: 0
tw 120: 0, average value: 0
tw 121: 0, average value: 0
tw 122: 0, average value: 0
tw 123: 0, average value: 0
tw 124: 0, average value: 0
tw 125: 0, average value: 0
tw 126: 0, average value: 0
tw 127: 0, average value: 0
tw 128: 0, average value: 0
tw 129: 0, average value: 0
tw 130: 0, average value: 0
tw 131: 0, average value: 0
tw 132: 0, average value: 0
tw 133: 0, average value: 0
tw 134: 0, average value: 0
tw 135: 0, average value: 0
tw 136: 0, average value: 0
tw 137: 0, average value: 0
tw 138: 0, average value: 0
tw 139: 0, average value: 0
tw 140: 0, average value: 0
tw 141: 0, average value: 0
tw 142: 0, average value: 0
tw 143: 0, average value: 0
tw 144: 0, average value: 0
tw 145: 0, average value: 0
tw 146: 0, average value: 0
tw 147: 0, average value: 0
tw 148: 0, average value: 0
tw 149: 0, average value: 0
tw 150: 0, average value: 0
tw 151: 0, average value: 0
tw 152: 0, average value: 0
tw 153: 0, average value: 0
tw 154: 0, average value: 0
tw 155: 0, average value: 0
tw 156: 0, average value: 0
tw 157: 0, average value: 0
tw 158: 0, average value: 0
tw 159: 0, average value: 0
tw 160: 0, average value: 0
tw 161: 0, average value: 0
tw 162: 0, average value: 0
tw 163: 0, average value: 0
tw 164: 0, average value: 0
tw 165: 0, average value: 0
tw 166: 0, average value: 0
tw 167: 0, average value: 0
tw 168: 0, average value: 0
tw 169: 0, average value: 0
tw 170: 0, average value: 0
tw 171: 0, average value: 0
tw 172: 0, average value: 0
tw 173: 0, average value: 0
tw 174: 0, average value: 0
tw 175: 0, average value: 0
tw 176: 0, average value: 0
tw 177: 0, average value: 0
tw 178: 0, average value: 0
tw 179: 0, average value: 0
tw 180: 0, average value: 0
tw 181: 0, average value: 0
tw 182: 0, average value: 0
tw 183: 0, average value: 0
tw 184: 0, average value: 0
tw 185: 0, average value: 0
tw 186: 0, average value: 0
tw 187: 0, average value: 0
tw 188: 0, average value: 0
tw 189: 0, average value: 0
tw 190: 0, average value: 0
tw 191: 0, average value: 0
tw 192: 0, average value: 0
tw 193: 0, average value: 0
tw 194: 0, average value: 0
tw 195: 0, average value: 0
tw 196: 0, average value: 0
tw 197: 0, average value: 0
tw 198: 0, average value: 0
tw 199: 0, average value: 0
tw 200: 0, average value: 0
tw 201: 0, average value: 0
tw 202: 0, average value: 0
tw 203: 0, average value: 0
tw 204: 0, average value: 0
tw 205: 0, average value: 0
tw 206: 0, average value: 0
tw 207: 0, average value: 0
tw 208: 0, average value: 0
tw 209: 0, average value: 0
tw 210: 0, average value: 0
tw 211: 0, average value: 0
tw 212: 0, average value: 0
tw 213: 0, average value: 0
tw 214: 0, average value: 0
tw 215: 0, average value: 0
tw 216: 0, average value: 0
tw 217: 0, average value: 0
tw 218: 0, average value: 0
tw 219: 0, average value: 0
tw 220: 0, average value: 0
tw 221: 0, average value: 0
tw 222: 0, average value: 0
tw 223: 0, average value: 0
tw 224: 0, average value: 0
tw 225: 0, average value: 0
tw 226: 0, average value: 0
tw 227: 0, average value: 0
tw 228: 0, average value: 0
tw 229: 0, average value: 0
tw 230: 0, average value: 0
tw 231: 0, average value: 0
tw 232: 0, average value: 0
tw 233: 0, average value: 0
tw 234: 0, average value: 0
tw 235: 0, average value: 0
tw 236: 0, average value: 0
tw 237: 0, average value: 0
tw 238: 0, average value: 0
tw 239: 0, average value: 0
tw 240: 0, average value: 0
tw 241: 0, average value: 0
tw 242: 0, average value: 0
tw 243: 0, average value: 0
tw 244: 0, average value: 0
tw 245: 0, average value: 0
tw 246: 0, average value: 0
tw 247: 0, average value: 0
tw 248: 0, average value: 0
tw 249: 0, average value: 0
tw 250: 0, average value: 0
tw 251: 0, average value: 0
tw 252: 0, average value: 0
tw 253: 0, average value: 0
tw 254: 0, average value: 0
tw 255: 0, average value: 0
tw 256: 0, average value: 0
tw 257: 0, average value: 0
tw 258: 0, average value: 0
tw 259: 0, average value: 0
tw 260: 0, average value: 0
tw 261: 0, average value: 0
tw 262: 0, average value: 0
tw 263: 0, average value: 0
tw 264: 0, average value: 0
tw 265: 0, average value: 0
tw 266: 0, average value: 0
tw 267: 0, average value: 0
tw 268: 0, average value: 0
tw 269: 0, average value: 0
tw 270: 0, average value: 0
tw 271: 0, average value: 0
tw 272: 0, average value: 0
tw 273: 0, average value: 0
tw 274: 0, average value: 0
tw 275: 0, average value: 0
tw 276: 0, average value: 0
tw 277: 0, average value: 0
tw 278: 0, average value: 0
tw 279: 0, average value: 0
tw 280: 0, average value: 0
tw 281: 0, average value: 0
tw 282: 0, average value: 0
tw 283: 0, average value: 0
tw 284: 0, average value: 0
tw 285: 0, average value: 0
tw 286: 0, average value: 0
tw 287: 0, average value: 0
tw 288: 0, average value: 0
tw 289: 0, average value: 0
tw 290: 0, average value: 0
tw 291: 0, average value: 0
tw 292: 0, average value: 0
tw 293: 0, average value: 0
tw 294: 0, average value: 0
tw 295: 0, average value: 0
tw 296: 0, average value: 0
tw 297: 0, average value: 0
tw 298: 0, average value: 0
tw 299: 0, average value: 0
tw 300: 0, average value: 0
tw 301: 0, average value: 0
tw 302: 0, average value: 0
tw 303: 0, average value: 0
tw 304: 0, average value: 0
tw 305: 0, average value: 0
tw 306: 0, average value: 0
tw 307: 0, average value: 0
tw 308: 0, average value: 0
tw 309: 0, average value: 0
tw 310: 0, average value: 0
tw 311: 0, average value: 0
tw 312: 0, average value: 0
tw 313: 0, average value: 0
tw 314: 0, average value: 0
tw 315: 0, average value: 0
tw 316: 0, average value: 0
tw 317: 0, average value: 0
tw 318: 0, average value: 0
tw 319: 0, average value: 0
tw 320: 0, average value: 0
tw 321: 0, average value: 0
tw 322: 0, average value: 0
tw 323: 0, average value: 0
